ASV,taxonomy,RB1903_J2_1128_Sedna_18S_1L_Sterivex,RB1903_J2_1128_Sedna_18S_10L_Prefilter,RB1903_J2_1128_Darya_18S_1L_Sterivex,RB1903_J2_1130_Sedna_18S_1L_Sterivex,RB1903_J2_1131_Sedna_18S_1L_Sterivex,RB1903_J2_1131_Sedna_18S_10L_Prefilter,RB1903_J2_1131_Darya_18S_1L_Sterivex,RB1903_J2_1131_Darya_18S_10L_Prefilter,RB1903_J2_1133_Sedna_18S_1L_Sterivex,RB1903_J2_1133_Sedna_18S_10L_Prefilter,RB1903_J2_1133_Darya_18S_10L_Prefilter,RB1903_J2_1134_Sedna_18S_1L_Sterivex,RB1903_J2_1134_Sedna_18S_10L_Prefilter,RB1903_J2_1134_Darya_18S_1L_Sterivex,RB1903_J2_1134_Darya_18S_10L_Prefilter,RB1903_J2_1135_Sedna_18S_1L_Sterivex,RB1903_J2_1135_Darya_18S_1L_Sterivex,RB1903_J2_1135_Darya_18S_10L_Prefilter,RB1903_J2_1136_Sedna_18S_1L_Sterivex,RB1903_J2_1136_Sedna_18S_10L_Prefilter,RB1903_J2_1136_Darya_18S_1L_Sterivex,RB1903_J2_1136_Darya_18S_10L_Prefilter,RB1903_J2_1137_Sedna_18S_1L_Sterivex,RB1903_J2_1137_Sedna_18S_10L_Prefilter,RB1903_J2_1137_Darya_18S_10L_Prefilter,PCRBlankAA18S,Lab_extraction_ctl_18S_10L_Prefilter,RB1903_Postcruise_ctl_Sedna_18S_1L_Sterivex,RB1903_Postcruise_ctl_Sedna_18S_10L_Prefilter,RB1903_Postcruise_ctl_Darya_18S_1L_Sterivex,RB1903_Postcruise_ctl_Darya_18S_10L_Prefilter,RB1903_Precruise_ctl_Sedna_18S_1L_Sterivex,RB1903_Precruise_ctl_Sedna_18S_10L_Prefilter,RB1903_Precruise_ctl_Darya_18S_1L_Sterivex,RB1903_Precruise_ctl_Darya_18S_10L_Prefilter,Lab_extraction_ctl_18S_1L_Sterivex,RB1903_J2_1128_Darya_18S_10L_Prefilter,RB1903_J2_1130_Sedna_18S_10L_Prefilter,RB1903_J2_1133_Darya_18S_1L_Sterivex,RB1903_J2_1135_Sedna_18S_10L_Prefilter,RB1903_J2_1137_Darya_18S_1L_Sterivex,,
005c1c42303eb27fff7dee2d14266289,d__Eukaryota; p__Haptista; c__Centroplasthelida; o__Pterocystida; g__Oxnerella; s__Oxnerella micra,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
00601549329930cff848bfbc2ea1f251,d__Eukaryota,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
00616ce9cdf5c1567caa3cf4f65be228,d__Eukaryota; k__Viridiplantae; p__Streptophyta; c__Magnoliopsida; o__Poales; f__Poaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,98,0,0,0,0,0,0,0,0,,
006208e131dd99156e443120c5595268,d__Eukaryota,0,74,0,0,0,91,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,34,103,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
0062a22e284350a75c61838d4e04b257,d__Eukaryota; s__uncultured eukaryote,0,0,0,24,30,30,25,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,,
0064b631da00f29f74bdad9b4d1c3d7d,d__Eukaryota,0,0,0,0,0,0,0,0,23,30,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,0,0,,
0065011f73dac66806831e4024ab8895,d__Eukaryota; p__Discosea; c__Flabellinia; o__Dactylopodida; f__Vexilliferidae,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
006985192099949c746f1460ac4fe0ea,d__Eukaryota; p__Euglenozoa; c__Kinetoplastea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
006a9023a78a11587384841be0b7d600,d__Eukaryota,0,0,0,0,0,17,0,13,0,0,0,0,13,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
006ec37f6b5abba933c0e1454da0bb60,d__Eukaryota; c__Polycystinea; o__Collodaria; f__Collosphaeridae; g__Thalassicolla; s__Thalassicolla nucleata,0,0,0,30,8,8,0,7,0,0,0,0,0,0,0,0,19,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,0,,
